"general","specific","class","api_name"
"internal","util","DefaultMockingDetails","org.mockito.internal.util.DefaultMockingDetails"
"internal","util","MockUtil","org.mockito.internal.util.MockUtil"
"internal","verification","MockAwareVerificationMode","org.mockito.internal.verification.MockAwareVerificationMode"
"RowPageBuilder","RowPageBuilder","RowPageBuilder","com.facebook.presto.RowPageBuilder.rowPageBuilder"
"SessionTestUtils","SessionTestUtils","TEST_SESSION","com.facebook.presto.SessionTestUtils.TEST_SESSION"
"block","block","BlockAssertions","com.facebook.presto.block.BlockAssertions"
"cost","ComparisonStatsCalculator","ComparisonStatsCalculator","com.facebook.presto.cost.ComparisonStatsCalculator.estimateExpressionToExpressionComparison"
"cost","ComparisonStatsCalculator","ComparisonStatsCalculator","com.facebook.presto.cost.ComparisonStatsCalculator.estimateExpressionToLiteralComparison"
"cost","PlanNodeStatsEstimateMath","PlanNodeStatsEstimateMath","com.facebook.presto.cost.PlanNodeStatsEstimateMath.addStatsAndSumDistinctValues"
"cost","PlanNodeStatsEstimateMath","PlanNodeStatsEstimateMath","com.facebook.presto.cost.PlanNodeStatsEstimateMath.capStats"
"cost","PlanNodeStatsEstimateMath","PlanNodeStatsEstimateMath","com.facebook.presto.cost.PlanNodeStatsEstimateMath.subtractSubsetStats"
"cost","StatsUtil","StatsUtil","com.facebook.presto.cost.StatsUtil.toStatsRepresentation"
"execution","execution","QueryManager","com.facebook.presto.execution.QueryManager"
"expressions","DynamicFilters","DynamicFilters","com.facebook.presto.expressions.DynamicFilters.isDynamicFilter"
"internal","verification","VerificationDataImpl","org.mockito.internal.verification.VerificationDataImpl"
"internal","verification","VerificationDataInOrder","org.mockito.internal.verification.api.VerificationDataInOrder"
"internal","verification","VerificationDataInOrderImpl","org.mockito.internal.verification.api.VerificationDataInOrderImpl"
"invocation","invocation","Invocation","org.mockito.invocation.Invocation"
"invocation","invocation","InvocationFactory","org.mockito.invocation.InvocationFactory"
"invocation","invocation","MockHandler","org.mockito.invocation.MockHandler"
"invocation","invocation","InvocationOnMock","org.mockito.invocation.InvocationOnMock"
"jdbc","PrestoResultSet","DATE_FORMATTER","com.facebook.presto.jdbc.PrestoResultSet.DATE_FORMATTER"
"jdbc","PrestoResultSet","TIMESTAMP_FORMATTER","com.facebook.presto.jdbc.PrestoResultSet.TIMESTAMP_FORMATTER"
"jdbc","PrestoResultSet","TIME_FORMATTER","com.facebook.presto.jdbc.PrestoResultSet.TIME_FORMATTER"
"listeners","listeners","VerificationStartedEvent","org.mockito.listeners.VerificationStartedEvent"
"listeners","listeners","VerificationStartedListener","org.mockito.listeners.VerificationStartedListener"
"listeners","listeners","MockitoListener","org.mockito.listeners.MockitoListener"
"memory","memory","NodeMemoryConfig","com.facebook.presto.memory.NodeMemoryConfig"
"metadata","metadata","SessionPropertyManager","com.facebook.presto.metadata.SessionPropertyManager"
"metadata","MetadataManager","MetadataManager","com.facebook.presto.metadata.MetadataManager.createTestMetadataManager"
"metadata","SessionFunctionHandle","SESSION_NAMESPACE","com.facebook.presto.metadata.SessionFunctionHandle.SESSION_NAMESPACE"
"mock","mock","SerializableMode","org.mockito.mock.SerializableMode"
"mock","mock","MockCreationSettings","org.mockito.mock.MockCreationSettings"
"plugin","memory","MISSING_DATA","com.facebook.presto.plugin.memory.MemoryErrorCode.MISSING_DATA"
"plugin","geospatial","BingTileUtils","com.facebook.presto.plugin.geospatial.BingTileUtils.tileToEnvelope"
"plugin","geospatial","BingTileUtils","com.facebook.presto.plugin.geospatial.BingTileUtils.tileXYToLatitudeLongitude"
"plugin","geospatial","BingTileCoordinatesFunction","com.facebook.presto.plugin.geospatial.BingTileFunctions.BingTileCoordinatesFunction"
"plugin","geospatial","ConvexHullAggregation","com.facebook.presto.plugin.geospatial.aggregation.ConvexHullAggregation"
"plugins","plugins","MockMaker","org.mockito.plugins.MockMaker"
"plugins","plugins","MockitoPlugins","org.mockito.plugins.MockitoPlugins"
"plugins","plugins","AnnotationEngine","org.mockito.plugins.AnnotationEngine"
"quality","quality","MockitoHint","org.mockito.quality.MockitoHint"
"quality","quality","Strictness","org.mockito.quality.Strictness"
"raptor","metadata","SchemaDaoUtil","com.facebook.presto.raptor.metadata.SchemaDaoUtil.createTablesWithRetry"
"raptor","metadata","DatabaseMetadataModule","com.facebook.presto.raptor.metadata.DatabaseMetadataModule"
"raptor","metadata","ColumnInfo","com.facebook.presto.raptor.metadata.ColumnInfo"
"raptor","metadata","DeltaInfoPair","com.facebook.presto.raptor.metadata.DeltaInfoPair"
"raptor","metadata","ShardDeleteDelta","com.facebook.presto.raptor.metadata.ShardDeleteDelta"
"raptor","metadata","ShardDelta","com.facebook.presto.raptor.metadata.ShardDelta"
"raptor","metadata","Table","com.facebook.presto.raptor.metadata.Table"
"raptor","metadata","ViewResult","com.facebook.presto.raptor.metadata.ViewResult"
"raptor","storage","StorageTypeConverter","com.facebook.presto.raptor.storage.StorageTypeConverter"
"raptor","systemtables","ColumnRangesSystemTable","com.facebook.presto.raptor.systemtables.ColumnRangesSystemTable"
"raptor","RaptorTableProperties","TABLE_SUPPORTS_DELTA_DELETE","com.facebook.presto.raptor.RaptorTableProperties.TABLE_SUPPORTS_DELTA_DELETE"
"raptor","RaptorTableProperties","TEMPORAL_COLUMN_PROPERTY","com.facebook.presto.raptor.RaptorTableProperties.TEMPORAL_COLUMN_PROPERTY"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.getBucketColumns"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.getBucketCount"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.getDistributionName"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.getSortColumns"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.getTemporalColumn"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.isOrganized"
"raptor","RaptorTableProperties","RaptorTableProperties","com.facebook.presto.raptor.RaptorTableProperties.isTableSupportsDeltaDelete"
"raptor","RaptorErrorCode","RAPTOR_BACKUP_CORRUPTION","com.facebook.presto.raptor.RaptorErrorCode.RAPTOR_BACKUP_CORRUPTION"
"raptor","metadata","TestDatabaseShardManager","com.facebook.presto.raptor.metadata.TestDatabaseShardManager.createShardManager"
"raptor","storage","TestOrcStorageManager","com.facebook.presto.raptor.storage.TestOrcStorageManager.createOrcStorageManager"
"raptor","metadata","MetadataConfig","com.facebook.presto.raptor.metadata.MetadataConfig"
"rcfile","rcfile","RcFileCorruptionException","com.facebook.presto.rcfile.RcFileCorruptionException"
"rcfile","rcfile","RcFileReader","com.facebook.presto.rcfile.RcFileReader"
"rcfile","RcFileWriteValidation","WriteChecksum","com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksum"
"rcfile","RcFileWriteValidation","WriteChecksumBuilder","com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksumBuilder"
"rcfile","RcFileDecoderUtils","RcFileDecoderUtils","com.facebook.presto.rcfile.RcFileDecoderUtils.findFirstSyncPosition"
"rcfile","RcFileDecoderUtils","RcFileDecoderUtils","com.facebook.presto.rcfile.RcFileDecoderUtils.readVInt"
"rcfile","RcFileWriteValidation","WriteChecksumBuilder","com.facebook.presto.rcfile.RcFileWriteValidation.WriteChecksumBuilder.createWriteChecksumBuilder"
"rcfile","RcFileCompressor","CompressedSliceOutput","com.facebook.presto.rcfile.RcFileCompressor.CompressedSliceOutput"
"rcfile","RcFileWriteValidation","RcFileWriteValidationBuilder","com.facebook.presto.rcfile.RcFileWriteValidation.RcFileWriteValidationBuilder"
"rcfile","PageSplitterUtil","PageSplitterUtil","com.facebook.presto.rcfile.PageSplitterUtil.splitPage"
"rcfile","RcFileDecoderUtils","RcFileDecoderUtils","com.facebook.presto.rcfile.RcFileDecoderUtils.writeLengthPrefixedString"
"rcfile","RcFileDecoderUtils","RcFileDecoderUtils","com.facebook.presto.rcfile.RcFileDecoderUtils.writeVInt"
"rcfile","RcFileReader","RcFileReader","com.facebook.presto.rcfile.RcFileReader.validateFile"
"resourceGroups","resourceGroups","FileResourceGroupConfigurationManagerFactory","com.facebook.presto.resourceGroups.FileResourceGroupConfigurationManagerFactory"
"server","thrift","ThriftServerInfoClient","com.facebook.presto.server.thrift.ThriftServerInfoClient"
"session","FileSessionPropertyManager","CODEC","com.facebook.presto.session.FileSessionPropertyManager.CODEC"
"session","session","MockitoSessionBuilder","org.mockito.session.MockitoSessionBuilder"
"session","session","MockitoSessionLogger","org.mockito.session.MockitoSessionLogger"
"spi","spi","ConnectorId","com.facebook.presto.spi.ConnectorId"
"spi","spi","QueryId","com.facebook.presto.spi.QueryId"
"spi","function","SqlFunctionId","com.facebook.presto.spi.function.SqlFunctionId"
"spi","function","SqlInvokedFunction","com.facebook.presto.spi.function.SqlInvokedFunction"
"spi","security","Identity","com.facebook.presto.spi.security.Identity"
"spi","security","SelectedRole","com.facebook.presto.spi.security.SelectedRole"
"spi","security","TokenAuthenticator","com.facebook.presto.spi.security.TokenAuthenticator"
"spi","session","ResourceEstimates","com.facebook.presto.spi.session.ResourceEstimates"
"spi","spi","PrestoException","com.facebook.presto.spi.PrestoException"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata"
"spi","StandardErrorCode","INVALID_SESSION_PROPERTY","com.facebook.presto.spi.StandardErrorCode.INVALID_SESSION_PROPERTY"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata.booleanProperty"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata.dataSizeProperty"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata.doubleProperty"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata.integerProperty"
"spi","session","PropertyMetadata","com.facebook.presto.spi.session.PropertyMetadata.stringProperty"
"spi","StandardErrorCode","EXCEEDED_CPU_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_CPU_LIMIT"
"spi","StandardErrorCode","EXCEEDED_SPILL_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_SPILL_LIMIT"
"spi","spi","ConnectorSession","com.facebook.presto.spi.ConnectorSession"
"spi","security","AccessControlContext","com.facebook.presto.spi.security.AccessControlContext"
"spi","session","SystemSessionPropertyConfiguration","com.facebook.presto.spi.session.SessionPropertyConfigurationManager.SystemSessionPropertyConfiguration"
"spi","ConnectorId","ConnectorId","com.facebook.presto.spi.ConnectorId.createInformationSchemaConnectorId"
"spi","ConnectorId","ConnectorId","com.facebook.presto.spi.ConnectorId.createSystemTablesConnectorId"
"spi","StandardErrorCode","NOT_FOUND","com.facebook.presto.spi.StandardErrorCode.NOT_FOUND"
"spi","spi","PageIndexer","com.facebook.presto.spi.PageIndexer"
"spi","spi","PageIndexerFactory","com.facebook.presto.spi.PageIndexerFactory"
"spi","spi","PageSorter","com.facebook.presto.spi.PageSorter"
"spi","plan","GroupingSetDescriptor","com.facebook.presto.spi.plan.AggregationNode.GroupingSetDescriptor"
"benchmark","framework","PRESTO","com.facebook.presto.benchmark.framework.QueryException.Type.PRESTO"
"cost","LocalCostEstimate","LocalCostEstimate","com.facebook.presto.cost.LocalCostEstimate.addPartialComponents"
"execution","execution","Lifespan","com.facebook.presto.execution.Lifespan"
"memory","context","SimpleLocalMemoryContext","com.facebook.presto.memory.context.SimpleLocalMemoryContext"
"plugin","base","AllowAllAccessControl","com.facebook.presto.plugin.base.security.AllowAllAccessControl"
"spi","security","ConnectorIdentity","com.facebook.presto.spi.security.ConnectorIdentity"
"spi","relation","DeterminismEvaluator","com.facebook.presto.spi.relation.DeterminismEvaluator"
"spi","relation","PredicateCompiler","com.facebook.presto.spi.relation.PredicateCompiler"
"spi","spi","StandardErrorCode","com.facebook.presto.spi.StandardErrorCode"
"spi","StandardErrorCode","EXCEEDED_GLOBAL_MEMORY_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_GLOBAL_MEMORY_LIMIT"
"spi","StandardErrorCode","EXCEEDED_LOCAL_MEMORY_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_LOCAL_MEMORY_LIMIT"
"spi","StandardErrorCode","EXCEEDED_REVOCABLE_MEMORY_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_REVOCABLE_MEMORY_LIMIT"
"spi","StandardErrorCode","EXCEEDED_SCAN_RAW_BYTES_READ_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_SCAN_RAW_BYTES_READ_LIMIT"
"spi","StandardErrorCode","EXCEEDED_OUTPUT_SIZE_LIMIT","com.facebook.presto.spi.StandardErrorCode.EXCEEDED_OUTPUT_SIZE_LIMIT"
"spi","plan","IntersectNode","com.facebook.presto.spi.plan.IntersectNode"
"spi","spiller","SpillCipher","com.facebook.presto.spi.spiller.SpillCipher"
"spi","StandardErrorCode","OUT_OF_SPILL_SPACE","com.facebook.presto.spi.StandardErrorCode.OUT_OF_SPILL_SPACE"
"spi","spi","PrestoWarning","com.facebook.presto.spi.PrestoWarning"
"spi","eventlistener","EventListener","com.facebook.presto.spi.eventlistener.EventListener"
"spi","storage","StorageCapabilities","com.facebook.presto.spi.storage.StorageCapabilities"
"spi","eventlistener","QueryCompletedEvent","com.facebook.presto.spi.eventlistener.QueryCompletedEvent"
"spi","eventlistener","QueryCreatedEvent","com.facebook.presto.spi.eventlistener.QueryCreatedEvent"
"spi","storage","TempDataOperationContext","com.facebook.presto.spi.storage.TempDataOperationContext"
"spi","storage","TempDataSink","com.facebook.presto.spi.storage.TempDataSink"
"spi","storage","TempStorageHandle","com.facebook.presto.spi.storage.TempStorageHandle"
"spi","statistics","DoubleRange","com.facebook.presto.spi.statistics.DoubleRange"
"spi","statistics","Estimate","com.facebook.presto.spi.statistics.Estimate"
"spi","Constraint","Constraint","com.facebook.presto.spi.Constraint.alwaysTrue"
"spi","spi","TestingSession","com.facebook.presto.spi.TestingSession"
"spi","StandardErrorCode","UNKNOWN_TRANSACTION","com.facebook.presto.spi.StandardErrorCode.UNKNOWN_TRANSACTION"
"spi","relation","ConstantExpression","com.facebook.presto.spi.relation.ConstantExpression.createConstantExpression"
"spi","relation","null","com.facebook.presto.spi.relation.SpecialFormExpression.Form.IN"
"spi","connector","ClassLoaderSafeNodePartitioningProvider","com.facebook.presto.spi.connector.classloader.ClassLoaderSafeNodePartitioningProvider"
"spi","function","FunctionMetadataManager","com.facebook.presto.spi.function.FunctionMetadataManager"
"spi","function","StandardFunctionResolution","com.facebook.presto.spi.function.StandardFunctionResolution"
"spi","plan","FilterStatsCalculatorService","com.facebook.presto.spi.plan.FilterStatsCalculatorService"
"spi","resourceGroups","ResourceGroup","com.facebook.presto.spi.resourceGroups.ResourceGroup"
"spi","function","AggregationFunction","com.facebook.presto.spi.function.AggregationFunction"
"spi","function","AggregationState","com.facebook.presto.spi.function.AggregationState"
"spi","spi","ConnectorPlanOptimizer","com.facebook.presto.spi.ConnectorPlanOptimizer"
"spi","function","CombineFunction","com.facebook.presto.spi.function.CombineFunction"
"spi","function","InputFunction","com.facebook.presto.spi.function.InputFunction"
"spi","function","OutputFunction","com.facebook.presto.spi.function.OutputFunction"
"spi","spi","TableHandle","com.facebook.presto.spi.TableHandle"
"spi","spi","VariableAllocator","com.facebook.presto.spi.VariableAllocator"
"spi","StandardErrorCode","GENERIC_RECOVERY_ERROR","com.facebook.presto.spi.StandardErrorCode.GENERIC_RECOVERY_ERROR"
"spi","plan","AggregationNode","com.facebook.presto.spi.plan.AggregationNode"
"spi","plan","PlanVisitor","com.facebook.presto.spi.plan.PlanVisitor"
"spi","plan","TableScanNode","com.facebook.presto.spi.plan.TableScanNode"
"spi","StandardErrorCode","REMOTE_HOST_GONE","com.facebook.presto.spi.StandardErrorCode.REMOTE_HOST_GONE"
"spi","StandardErrorCode","REMOTE_TASK_ERROR","com.facebook.presto.spi.StandardErrorCode.REMOTE_TASK_ERROR"
"spi","StandardErrorCode","TOO_MANY_REQUESTS_FAILED","com.facebook.presto.spi.StandardErrorCode.TOO_MANY_REQUESTS_FAILED"
"spi","plan","PARTIAL","com.facebook.presto.spi.plan.AggregationNode.Step.PARTIAL"
"spi","function","AccumulatorStateSerializer","com.facebook.presto.spi.function.AccumulatorStateSerializer"
"spi","function","AccumulatorState","com.facebook.presto.spi.function.AccumulatorState"
"spi","function","AccumulatorStateMetadata","com.facebook.presto.spi.function.AccumulatorStateMetadata"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyGrantTablePrivilege"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyInsertTable"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyQueryIntegrityCheck"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyRenameColumn"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyRenameSchema"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyRenameTable"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyRevokeRoles"
"SystemSessionProperties","SystemSessionProperties","SystemSessionProperties","com.facebook.presto.SystemSessionProperties.isEnableStatsCalculator"
"benchmark","benchmark","BenchmarkSuite","com.facebook.presto.benchmark.BenchmarkSuite"
"cost","StatsUtil","StatsUtil","com.facebook.presto.cost.StatsUtil.toVariableStatsEstimate"
"server","testing","TestShutdownAction","com.facebook.presto.server.testing.TestingPrestoServer.TestShutdownAction"
"spi","statistics","Builder","com.facebook.presto.spi.statistics.ColumnStatistics.Builder"
"spi","spi","ConnectorResolvedIndex","com.facebook.presto.spi.ConnectorResolvedIndex"
"spi","StandardErrorCode","FUNCTION_IMPLEMENTATION_ERROR","com.facebook.presto.spi.StandardErrorCode.FUNCTION_IMPLEMENTATION_ERROR"
"spi","page","PageDataOutput","com.facebook.presto.spi.page.PageDataOutput"
"spi","page","PagesSerdeUtil","com.facebook.presto.spi.page.PagesSerdeUtil"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyRevokeTablePrivilege"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denySelectColumns"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denySetCatalogSessionProperty"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denySetRole"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denySetSystemSessionProperty"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denySetUser"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyShowCurrentRoles"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyShowRoleGrants"
"spi","security","AccessDeniedException","com.facebook.presto.spi.security.AccessDeniedException.denyShowRoles"
"spi","function","AggregationStateSerializerFactory","com.facebook.presto.spi.function.AggregationStateSerializerFactory"
"spi","memory","ClusterMemoryPoolManager","com.facebook.presto.spi.memory.ClusterMemoryPoolManager"
"spi","function","OperatorDependency","com.facebook.presto.spi.function.OperatorDependency"
"spi","function","TypeParameterSpecialization","com.facebook.presto.spi.function.TypeParameterSpecialization"
"spi","NodeState","ACTIVE","com.facebook.presto.spi.NodeState.ACTIVE"
"spi","NodeState","SHUTTING_DOWN","com.facebook.presto.spi.NodeState.SHUTTING_DOWN"
"spi","StandardErrorCode","CLUSTER_OUT_OF_MEMORY","com.facebook.presto.spi.StandardErrorCode.CLUSTER_OUT_OF_MEMORY"
"spi","function","SCALAR","com.facebook.presto.spi.function.FunctionKind.SCALAR"
"spi","spi","ConnectorIndexHandle","com.facebook.presto.spi.ConnectorIndexHandle"
"spi","function","InvocationConvention","com.facebook.presto.spi.function.InvocationConvention"
"spi","function","InvocationArgumentConvention","com.facebook.presto.spi.function.InvocationConvention.InvocationArgumentConvention"
"spi","function","InvocationReturnConvention","com.facebook.presto.spi.function.InvocationConvention.InvocationReturnConvention"
"spi","StandardErrorCode","FUNCTION_NOT_FOUND","com.facebook.presto.spi.StandardErrorCode.FUNCTION_NOT_FOUND"
"spi","spi","SortingProperty","com.facebook.presto.spi.SortingProperty"
"spi","function","FunctionNamespaceManager","com.facebook.presto.spi.function.FunctionNamespaceManager"
"spi","function","FunctionNamespaceTransactionHandle","com.facebook.presto.spi.function.FunctionNamespaceTransactionHandle"
"spi","function","Parameter","com.facebook.presto.spi.function.Parameter"
"spi","function","ScalarFunctionImplementation","com.facebook.presto.spi.function.ScalarFunctionImplementation"
"spi","function","SqlFunction","com.facebook.presto.spi.function.SqlFunction"
"spi","function","SqlInvokedScalarFunctionImplementation","com.facebook.presto.spi.function.SqlInvokedScalarFunctionImplementation"
"spi","StandardErrorCode","FUNCTION_IMPLEMENTATION_MISSING","com.facebook.presto.spi.StandardErrorCode.FUNCTION_IMPLEMENTATION_MISSING"
"spi","function","BUILTIN","com.facebook.presto.spi.function.FunctionImplementationType.BUILTIN"
"spi","function","SQL","com.facebook.presto.spi.function.FunctionImplementationType.SQL"
"spi","page","PageDecompressor","com.facebook.presto.spi.page.PageDecompressor"
