"general","specific","api_name_fk"
"wx","wx","wx/ffile"
"lilv_config","undefined","lilv_config"
"XMLWriter","undefined","XMLWriter"
"LogWindow","undefined","LogWindow"
"wx","wx","wx/filedlg"
"wx","wx","wx/icon"
"DirectoriesPrefs","undefined","DirectoriesPrefs"
"TimeTrackVZoomHandle","undefined","TimeTrackVZoomHandle"
"images","AudacityLogoAlpha","../images/AudacityLogoAlpha.xpm"
"Lyrics","undefined","Lyrics"
"TranscriptionImages","StartOnAlpha","TranscriptionImages/StartOnAlpha.xpm"
"TranscriptionImages","StartOnDisabled","TranscriptionImages/StartOnDisabled.xpm"
"TranscriptionImages","StartOff","TranscriptionImages/StartOff.xpm"
"TranscriptionImages","StartOffAlpha","TranscriptionImages/StartOffAlpha.xpm"
"TranscriptionImages","StartOffDisabled","TranscriptionImages/StartOffDisabled.xpm"
"TranscriptionImages","EndOn","TranscriptionImages/EndOn.xpm"
"wx","wx","wx/mimetype"
"TranscriptionImages","EndOnAlpha","TranscriptionImages/EndOnAlpha.xpm"
"TranscriptionImages","EndOnDisabled","TranscriptionImages/EndOnDisabled.xpm"
"ProjectWindowBase","undefined","ProjectWindowBase"
"TranscriptionImages","EndOff","TranscriptionImages/EndOff.xpm"
"TranscriptionImages","EndOffAlpha","TranscriptionImages/EndOffAlpha.xpm"
"widgets","widgets","../widgets/ReadOnlyText"
"widgets","widgets","../widgets/wxTextCtrlWrapper"
"LyricsWindow","undefined","LyricsWindow"
"UIHandle","undefined","../../../UIHandle"
"EffectsPrefs","undefined","EffectsPrefs"
"widgets","widgets","../../../widgets/Ruler"
"prefs","GUISettings","prefs/GUISettings.h // for RTL_WORKAROUND"
"TranscriptionImages","EndOffDisabled","TranscriptionImages/EndOffDisabled.xpm"
"TranscriptionImages","CalibrateUp","TranscriptionImages/CalibrateUp.xpm"
"TranscriptionImages","CalibrateAlpha","TranscriptionImages/CalibrateAlpha.xpm"
"TranscriptionImages","CalibrateDisabled","TranscriptionImages/CalibrateDisabled.xpm"
"TranscriptionImages","AutomateSelection","TranscriptionImages/AutomateSelection.xpm"
"ExtImportPrefs","undefined","ExtImportPrefs"
"TranscriptionImages","AutomateSelectionAlpha","TranscriptionImages/AutomateSelectionAlpha.xpm"
"wx","wx","wx/toolbar"
"TranscriptionImages","AutomateSelectionDisabled","TranscriptionImages/AutomateSelectionDisabled.xpm"
"images","AudacityLogo","../images/AudacityLogo.xpm"
"images","AudacityLogo48x48","../images/AudacityLogo48x48.xpm"
"Carbon","undefined","Carbon/Carbon"
"TranscriptionImages","MakeTag","TranscriptionImages/MakeTag.xpm"
"TranscriptionImages","MakeTagAlpha","TranscriptionImages/MakeTagAlpha.xpm"
"MIDIPlay","undefined","MIDIPlay"
"TranscriptionImages","MakeTagDisabled","TranscriptionImages/MakeTagDisabled.xpm"
"TimeTrackView","undefined","TimeTrackView"
"TranscriptionImages","SelectSound","TranscriptionImages/SelectSound.xpm"
"widgets","widgets","../widgets/Grid"
"portmidi","undefined","portmidi"
"porttime","undefined","porttime"
"GUIPrefs","undefined","GUIPrefs"
"ma","ma","ma/ma_time"
"profileapi","undefined","profileapi"
"sysinfoapi","undefined","sysinfoapi"
"timeapi","undefined","timeapi"
"TranscriptionImages","SelectSoundAlpha","TranscriptionImages/SelectSoundAlpha.xpm"
"sys","sys","sys/time"
"TranscriptionImages","SelectSoundDisabled","TranscriptionImages/SelectSoundDisabled.xpm"
"TranscriptionImages","SelectSilence","TranscriptionImages/SelectSilence.xpm"
"TranscriptionImages","SelectSilenceAlpha","TranscriptionImages/SelectSilenceAlpha.xpm"
"Envelope","undefined","../../../Envelope"
"EnvelopeEditor","undefined","../../../EnvelopeEditor"
"TranscriptionImages","SelectSilenceDisabled","TranscriptionImages/SelectSilenceDisabled.xpm"
"src","src","src/Audacity"
"emePrefs","undefined","emePrefs"
"toolbars","toolbars","toolbars/ToolManager"
"serd","undefined","serd/serd"
"sord","undefined","sord/sord"
"unordered_set","undefined","unordered_set"
"ImportExportPrefs","undefined","ImportExportPrefs"
"wx","wx","wx/windowptr"
"zix","zix","zix/tree"
"KeyConfigPrefs","undefined","KeyConfigPrefs"
"ui","ui","../../ui/EnvelopeHandle"
"TimeTrack","undefined","TimeTrack"
"FileDialog","undefined","../FileDialog"
"widgets","Ruler","widgets/Ruler.h // member variable"
"MixerBoard","undefined","MixerBoard"
"ViewInfo","h ","ViewInfo.h // for PlayRegion"
"MacroMagic","undefined","MacroMagic"
"wx","wx","wx/modaook"
"wx","msw","wx/msw/wrapcdlg"
"wx","msw","wx/msw/missing"
"NoteTrack","undefined","NoteTrack"
"FileConfig","h ","FileConfig.h // to inherit"
"widgets","widgets","../widgets/KeyView"
"serd_internal","undefined","serd_internal"
"LibraryPrefs","undefined","LibraryPrefs"
"wx","wx","wx/ma"
"initializer_list","undefined","initializer_list"
"wx","wx","wx/scopeguard"
"TrackPanel","h ","TrackPanel.h // for EVT_TRACK_PANEL_TIMER"
"TrackUtilities","undefined","TrackUtilities"
"MidiIOPrefs","undefined","MidiIOPrefs"
"widgets","widgets","widgets/MeterPanel"
"images","images","../images/MusicalInstruments"
"lobj","undefined","lobj"
"ADSR","undefined","ADSR"
"SKINI","SKINI","SKINI.msg"
"ModuleInterface","undefined","ModuleInterface"
"BiQuad","undefined","BiQuad"
"ModulePrefs","undefined","ModulePrefs"
"BowTable","undefined","BowTable"
"PluginInterface","undefined","PluginInterface"
"ModuleSettings","undefined","ModuleSettings"
"widgets","widgets","widgets/MultiDialog"
"ModuleSettings","undefined","../ModuleSettings"
"MousePrefs","undefined","MousePrefs"
"PlaybackPrefs","undefined","PlaybackPrefs"
"lib-srceader-substitutes","lib-srceader-substitutes","../lib-srceader-substitutes/allegro"
"sstream","undefined","sstream"
"serd_config","undefined","serd_config"
"PrefsDialog","undefined","PrefsDialog"
"InconsistencyException","undefined","InconsistencyException"
"Delay","undefined","Delay"
"DelayA","undefined","DelayA"
"DelayL","undefined","DelayL"
"wx","wx","wx/gdicmn"
"FileRead","undefined","FileRead"
"wx","wx","wx/listbook"
"wx","wx","wx/treebook"
"PlaybackSedule","undefined","PlaybackSedule"
"PrefsPanel","undefined","PrefsPanel"
"FileWvIn","undefined","FileWvIn"
"Filter","undefined","Filter"
"Internat","h ","Internat.h // for macro XO"
"Function","undefined","Function"
"QualityPrefs","undefined","QualityPrefs"
"directives","undefined","directives."
"PluginRegistrationDialog","undefined","PluginRegistrationDialog"
"EffectInterface","undefined","EffectInterface"
"JetTable","undefined","JetTable"
"Mandolin","undefined","Mandolin"
"Modal","undefined","Modal"
"wx","msw","wx/msw/msvcrt"
"AudioIOBase","h ","AudioIOBase.h // to inherit"
"PlaybackSchedule","h ","PlaybackSchedule.h // member variable"
"Printing","undefined","Printing"
"SpectrogramSettings","undefined","SpectrogramSettings"
"OnePole","undefined","OnePole"
"wx","wx","wx/print"
"wx","wx","wx/printdlg"
"NumberScale","undefined","NumberScale"
"OneZero","undefined","OneZero"
"utility","undefined","utility"
"SpectrumPrefs","undefined","SpectrumPrefs"
"PluckTwo","undefined","PluckTwo"
"PoleZero","undefined","PoleZero"
"ReedTabl","undefined","ReedTabl"
"ReedTable","undefined","ReedTable"
"wx","wx","wx/crt"
"SineWave","undefined","SineWave"
"WaveLoop","undefined","WaveLoop"
"WvIn","undefined","WvIn"
"jni","undefined","jni"
"android","android","android/log"
"TracksBaviorsPrefs","undefined","TracksBaviorsPrefs"
"commands","commands","commands/CommandFlag"
"ComponentInterface","h ","ComponentInterface.h // for ComponentInterfaceSymbol"
"TracksPrefs","undefined","TracksPrefs"
"include","include","../../../include/SoundTou"
"TimeiftEffect","undefined","TimeiftEffect"
"TrackPanelAx","undefined","TrackPanelAx"
"NoteTrackAffordanceControls","undefined","NoteTrackAffordanceControls"
"ui","ui","../../../ui/AffordanceHandle"
"WarningsPrefs","undefined","WarningsPrefs"
"ui","ui","../../../ui/SelectHandle"
"ui","ui","../../../ui/TrackView"
"AllemeResources","undefined","../../../../AllemeResources"
"widgets","widgets","widgets/MeterPanelBase"
"widgets","widgets","widgets/Warning"
"WaveformPrefs","undefined","WaveformPrefs"
"AColor","undefined","../../../../AColor"
"ProjectFSCK","undefined","ProjectFSCK"
"NoteTrack","undefined","../../../../NoteTrack"
"BlockFile","undefined","BlockFile"
"TrackArtist","undefined","../../../../TrackArtist"
"TrackPanelMouseEvent","undefined","../../../../TrackPanelMouseEvent"
"TrackPanelDrawingContext","undefined","../../../../TrackPanelDrawingContext"
"widgets","OverlayPanel","widgets/OverlayPanel.h // to inherit"
"ProjectHistory","undefined","../../../../ProjectHistory"
"SelectionState","undefined","../../../../SelectionState"
"ProjectSettings","undefined","../../../../ProjectSettings"
"WaveformSettings","undefined","WaveformSettings"
"RefreCode","undefined","../../../../RefreCode"
"eme","undefined","../../../../eme"
"NoteTrackButtonHandle","undefined","NoteTrackButtonHandle"
"HitTestResult","undefined","../../../../HitTestResult"
"NoteTrackControls","undefined","NoteTrackControls"
"ControlToolBar","undefined","ControlToolBar"
"CodeConversions","undefined","CodeConversions"
"ProjectSerializer","undefined","ProjectSerializer"
"TrackInfo","undefined","../../../../TrackInfo"
"ui","ui","../../ui/PlayableTrackButtonHandles"
"NoteTrackSliderHandles","undefined","NoteTrackSliderHandles"
"TrackPanel","undefined","../../../../TrackPanel"
"wx","wx","wx/debugrpt"
"XMLFileReader","undefined","XMLFileReader"
"ui","CommonTrackControls","../../ui/CommonTrackControls.h // to inherit"
"widgets","widgets","../../../../widgets/PopupMenuTable"
"ui","ui","../../ui/TrackVRulerControls"
"condition_variable","undefined","condition_variable"
"ImageManipulation","undefined","../ImageManipulation"
"ProjectWindows","undefined","../../../../ProjectWindows"
"ui","ui","../../ui/CommonTrackView"
"prefs","prefs","../../../../prefs/emePrefs"
"ui","ui","../../ui/ButtonHandle"
"ui","ui","../../ui/CommonTrackControls"
"widgets","widgets","../../../../widgets/ASlider"
"ProjectSelectionManager","undefined","ProjectSelectionManager"
"UIHandle","h ","../../../UIHandle.h // to inherit"
"tracks","ui","../tracks/ui/Scrubbing"
"DeviceToolBar","undefined","DeviceToolBar"
"ToolManager","undefined","ToolManager"
"wx","gtk","wx/gtk/filectrl"
"wxFileNameWrapper","h ","wxFileNameWrapper.h // member variable"
"SelectionState","undefined","SelectionState"
"Tags","undefined","Tags"
"ui","ui","../../../ui/TimeiftHandle"
"TrackPanel","undefined","TrackPanel"
"Types","undefined","audacity/Types"
"export","export","export/Export"
"import","import","import/ImportMIDI"
"toolbars","toolbars","toolbars/SelectionBar"
"widgets","widgets","widgets/UnwritableLocationErrorDialog"
"TrackPanelAx","undefined","../../../../TrackPanelAx"
"UndoManager","undefined","../../../../UndoManager"
"libavcodec","libavcodec","libavcodec/avcodec"
"libavformat","libavformat","libavformat/avformat"
"NoteTrackVRulerControls","undefined","NoteTrackVRulerControls"
"NoteTrackVZoomHandle","undefined","NoteTrackVZoomHandle"
"libavutil","libavutil","libavutil/error"
"libavutil","libavutil","libavutil/fifo"
"libavutil","libavutil","libavutil/maematics"
"widgets","widgets","../widgets/Grabber"
"EditToolBar","undefined","EditToolBar"
"widgets","widgets","../../../../widgets/Ruler"
"ui","ui","../../../ui/TrackVRulerControls"
"Effect","Effect","Effect.h "
"DelayL","DelayL","DelayL.h "
"images","images","../../../../../images/Cursors"
"SineWave","SineWave","SineWave.h "
"NoteTrackView","undefined","NoteTrackView"
"MeterToolBar","undefined","MeterToolBar"
"Internat","h ","Internat.h // for TranslatableString"
"wx","wx","wx/gbsizer"
"toolbars","toolbars","toolbars/MixerToolBar"
"toolbars","toolbars","toolbars/SpectralSelectionBar"
"toolbars","toolbars","toolbars/TimeToolBar"
"MixerToolBar","undefined","MixerToolBar"
"StretHandle","undefined","StretHandle"
"wx","wx","wx/dnd"
"ui","ui","../../../ui/CommonTrackPanelCell"
"ComponentInterface","h ","ComponentInterface.h // member variable"
"ProjectAudioIO","undefined","../../../../ProjectAudioIO"
"ScrubbingToolBar","undefined","ScrubbingToolBar"
"cstdint","undefined","cstdint"
"Delay","Delay","Delay.h "
"wx","wx","wx/ustring"
"widgets","widgets","widgets/NumericTextCtrl"
"prefs","prefs","prefs/TracksBaviorsPrefs"
"SelectionBar","undefined","SelectionBar"
"SelectionBarListener","undefined","SelectionBarListener"
"CutlineHandle","undefined","CutlineHandle"
"widgets","ASlider","widgets/ASlider.h // to inherit"
"Snap","h ","../../../../Snap.h // for kPixelTolerance"
"WaveTrack","undefined","../../../../WaveTrack"
"SampleHandle","undefined","SampleHandle"
"Envelope","undefined","../../../../Envelope"
"Snap","undefined","../Snap"
"wx","wx","wx/display"
"prefs","prefs","../../../../prefs/WaveformSettings"
"GuiFactory","undefined","GuiFactory"
"APanel","undefined","APanel"
"SpectralSelectionBar","undefined","SpectralSelectionBar"
"SpectralSelectionBarListener","undefined","SpectralSelectionBarListener"
"RealFFTf48x","undefined","RealFFTf48x"
"widgets","widgets","../../../../widgets/AudacityMessageBox"
"RealFFTf","undefined","RealFFTf"
"SseMaFuncs","undefined","SseMaFuncs"
"intrin","undefined","intrin"
"SpectrumVRulerControls","undefined","SpectrumVRulerControls"
"Dier","undefined","Dier"
"SpectrumVZoomHandle","undefined","SpectrumVZoomHandle"
"WaveTrackVRulerControls","undefined","WaveTrackVRulerControls"
"SampleFormat","undefined","SampleFormat"
"commands","commands","commands/CommandTargets"
"prefs","prefs","../../../../prefs/SpectrogramSettings"
"WaveTrackVZoomHandle","undefined","WaveTrackVZoomHandle"
"wx","wx","wx/dirdlg"
"wx","wx","wx/panel"
"ClientData","h ","ClientData.h // to inherit"
"TimeToolBar","undefined","TimeToolBar"
"sndmac","undefined","sndmac"
"SpectrumView","undefined","SpectrumView"
"swlogic","undefined","swlogic"
"WaveTrackView","undefined","WaveTrackView"
"WaveTrackViewConstants","undefined","WaveTrackViewConstants"
"ui","ui","../../../ui/BruHandle"
"ToolBar","undefined","ToolBar"
"AudioIOListener","h ","AudioIOListener.h // to inherit"
"zix","zix","zix/common"
"WaveClip","undefined","../../../../WaveClip"
"Prefs","h ","Prefs.h // to inherit"
"XMLTagHandler","h ","XMLTagHandler.h // to inherit"
"ToolDock","undefined","ToolDock"
"WaveTrackControls","undefined","WaveTrackControls"
"Menus","undefined","../../../../Menus"
"lv2","core","lv2/core/attributes"
"prefs","prefs","../../../../prefs/PrefsDialog"
"prefs","prefs","../../../../prefs/SpectrumPrefs"
"FileNames","h ","FileNames.h // for FileType"
"WaveTrackAffordanceControls","undefined","WaveTrackAffordanceControls"
"toolbars","SelectionBarListener","toolbars/SelectionBarListener.h // to inherit"
"TrackPanelResizeHandle","undefined","../../../../TrackPanelResizeHandle"
"toolbars","SpectralSelectionBarListener","toolbars/SpectralSelectionBarListener.h // to inherit"
"ProjectWindowBase","h ","ProjectWindowBase.h // to inherit"
"TrackPanelListener","h ","TrackPanelListener.h // to inherit"
"wx","wx","wx/region"
"EffectAutomationParameters","h ","EffectAutomationParameters.h // for command automation"
"WrappedType","undefined","WrappedType"
"uttleGetDefinition","undefined","uttleGetDefinition"
"ComponentInterfaceSymbol","undefined","ComponentInterfaceSymbol"
"uttlePrefs","undefined","uttlePrefs"
"wx","undefined","wx/wx"
"wx","wx","wx/wxprec"
"wx","wx","wx/minifram"
"wx","wx","wx/notebook"
"wx","wx","wx/simplebook"
"wx","wx","wx/treectrl"
"wx","wx","wx/popupwin"
"uttleGui","undefined","../../../../uttleGui"
"wx","wx","wx/wrapsizer"
"ComponentInterface","undefined","ComponentInterface"
"widgets","widgets","widgets/ReadOnlyText"
"widgets","widgets","widgets/wxTextCtrlWrapper"
"commands","commands","../../../../commands/AudacityCommand"
"extnpanel-src","extnpanel-src","../extnpanel-src/GuiWaveTrack"
"widgets","widgets","../widgets/MeterPanelBase"
"ui","ui","../../../ui/TextEditHelper"
"WaveTrackView","h","WaveTrackView.h//need only ClipParameters"
"ToolsToolBar","undefined","ToolsToolBar"
"cstdlib","undefined","cstdlib"
"Identifier","h ","Identifier.h // for FilePath"
"SoundActivatedRecord","undefined","SoundActivatedRecord"
"WaveTrackSliderHandles","undefined","WaveTrackSliderHandles"
"CellularPanel","undefined","../../../../CellularPanel"
"TranscriptionToolBar","undefined","TranscriptionToolBar"
"Shuttle","h ","Shuttle.h // to inherit"
"commands","CommandTargets","commands/CommandTargets.h // to inherit"
"ClientData","undefined","ClientData"
"effects","effects","../../../../effects/RealtimeEffectManager"
"lv2","lv2","lv2/pat/pat"
"SpectralDataManager","undefined","SpectralDataManager"
"widgets","NumericTextCtrl","widgets/NumericTextCtrl.h // member variable"
"SpectrumTransformer","undefined","./SpectrumTransformer"
"widgets","wxPanelWrapper","widgets/wxPanelWrapper.h // to inherit"
"tracks","playabletrack","tracks/playabletrack/wavetrack/ui/SpectrumView"
"VoiceKey","undefined","../VoiceKey"
"SpectrumAnalyst","undefined","SpectrumAnalyst"
"SpectrumTransformer","undefined","SpectrumTransformer"
"AccessibleLinksFormatter","undefined","AccessibleLinksFormatter"
"UpdateDataParser","undefined","UpdateDataParser"
"UpdateManager","undefined","UpdateManager"
"UpdatePopupDialog","undefined","UpdatePopupDialog"
"UpdateNoticeDialog","undefined","UpdateNoticeDialog"
"ui","PlayableTrackControls","../../ui/PlayableTrackControls.h // to inherit"
"ui","ui","../../../ui/SliderHandle"
"ui","ui","../../../ui/CommonTrackView"
"XMLTagHandler","undefined","XMLTagHandler"
"SampleBlock","h ","SampleBlock.h // to inherit"
"WaveTrackLocation","undefined","../../../../WaveTrackLocation"
"wx","wx","wx/longlong"
"ui","TrackVRulerControls","../../../ui/TrackVRulerControls.h // to inherit"
"UIHandle","h ","../../../../UIHandle.h // to inherit"
"WaveTrackVZoomHandle","h ","WaveTrackVZoomHandle.h // to inherit"
"WaveTrackView","h ","WaveTrackView.h // to inherit"
"VersionId","undefined","VersionId"
"AButton","undefined","AButton"
"wx","wx","wx/dcbuffer"
"WindowAccessible","undefined","WindowAccessible"
"ASlider","undefined","ASlider"
"wx","wx","wx/combobox"
"widgets","WindowAccessible","widgets/WindowAccessible.h // to inherit"
"wx","wx","wx/mstream"
"TrackPanelDrawable","h ","TrackPanelDrawable.h // to inherit"
"images","Aqua","../images/Aqua/HiliteButtonSquare.xpm"
"images","Aqua","../images/Aqua/UpButtonSquare.xpm"
"images","Aqua","../images/Aqua/DownButtonSquare.xpm"
"images","Aqua","../images/Aqua/Slider.xpm"
"images","Aqua","../images/Aqua/SliderThumb.xpm"
"images","Aqua","../images/Aqua/Down.xpm"
"images","Aqua","../images/Aqua/Hilite.xpm"
"images","Aqua","../images/Aqua/Up.xpm"
"images","Aqua","../images/Aqua/DownButtonStripes.xpm"
"images","Aqua","../images/Aqua/DownButtonWhite.xpm"
"images","Aqua","../images/Aqua/HiliteButtonStripes.xpm"
"images","Aqua","../images/Aqua/HiliteButtonWhite.xpm"
"images","Aqua","../images/Aqua/UpButtonStripes.xpm"
"images","Aqua","../images/Aqua/UpButtonWhite.xpm"
"images","images","../images/PostfiButtons"
"images","images","../images/ControlButtons"
"images","images","../images/EditButtons"
"images","images","../images/MixerImages"
"images","images","../images/Cursors"
"images","images","../images/ToolBarButtons"
"images","images","../images/TranscriptionButtons"
"images","images","../images/ToolsButtons"
"images","ExpandingToolBar","../images/ExpandingToolBar/ToolBarToggle.xpm"
"images","ExpandingToolBar","../images/ExpandingToolBar/ToolBarTarget.xpm"
"images","ExpandingToolBar","../images/ExpandingToolBar/ToolBarGrabber.xpm"
"images","ControlButtons","../images/ControlButtons/Slider.xpm"
"images","ControlButtons","../images/ControlButtons/SliderThumb.xpm"
"images","SliderThumb","../images/SliderThumb.xpm"
"images","SliderThumbAlpha","../images/SliderThumbAlpha.xpm"
"images","Aqua","../images/Aqua.xpm"
"images","images","../images/GlyImages"
"images","images","../images/UploadImages"
"widgets","PopupMenuTable","../../../../widgets/PopupMenuTable.h // to inherit"
"commands","commands","../../../../commands/CommandContext"
"DarkemeAsCeeCode","undefined","DarkemeAsCeeCode"
"LitemeAsCeeCode","undefined","LitemeAsCeeCode"
"ClassicemeAsCeeCode","undefined","ClassicemeAsCeeCode"
"HiContrastemeAsCeeCode","undefined","HiContrastemeAsCeeCode"
"TimeDialog","undefined","TimeDialog"
"ComponentInterfaceSymbol","h ","ComponentInterfaceSymbol.h // for EnumValueSymbol"
"tracks","ui","tracks/ui/CommonTrackPanelCell.h // to inherit"
"typeinfo","undefined","typeinfo"
"prefs","prefs","../../../../prefs/TracksPrefs"
"valnum","undefined","valnum"
"ui","ui","../../../ui/ButtonHandle"
"AttaableScrollBar","undefined","AttaableScrollBar"
"mapinls","undefined","mapinls"
"AudacityMessageBox","undefined","AudacityMessageBox"
"sndwin32","undefined","sndwin32"
"TimerRecordDialog","undefined","TimerRecordDialog"
"war","undefined","war"
"AudacityTextEntryDialog","undefined","AudacityTextEntryDialog"
"BackedPanel","undefined","BackedPanel"
"ErrorDialog","undefined","ErrorDialog"
"wx","wx","wx/calctrl"
"WaveformVRulerControls","undefined","WaveformVRulerControls"
"WaveformVZoomHandle","undefined","WaveformVZoomHandle"
"wx","wx","wx/collpane"
"wx","wx","wx/datectrl"
"yvals","undefined","yvals"
"winmain2","undefined","winmain2"
"UIHandle","undefined","../../../../UIHandle"
"WaveTrackLocation","undefined","WaveTrackLocation"
"down-9x16","down-9x16","down-9x16.xpm"
"fav-down-16x16","fav-down-16x16","fav-down-16x16.xpm"
"fav-up-16x16","fav-up-16x16","fav-up-16x16.xpm"
"power-off-16x16","power-off-16x16","power-off-16x16.xpm"
"HelpSystem","undefined","HelpSystem"
"ErrorReportDialog","undefined","ErrorReportDialog"
"power-on-16x16","power-on-16x16","power-on-16x16.xpm"
"remove-16x16","remove-16x16","remove-16x16.xpm"
"WaveformView","undefined","WaveformView"
"settings-down-16x16","settings-down-16x16","settings-down-16x16.xpm"
"settings-up-16x16","settings-up-16x16","settings-up-16x16.xpm"
"up-9x16","up-9x16","up-9x16.xpm"
"ui","ui","../../../ui/EnvelopeHandle"
"tracks","ui","tracks/ui/CommonTrackPanelCell"
"type_traits","undefined","type_traits"
"EnvelopeEditor","undefined","../../../../EnvelopeEditor"
"portsmf","portsmf","../portsmf/allegro"
"ExpandingToolBar","undefined","ExpandingToolBar"
"TrackInfo","undefined","TrackInfo"
"FileHistory","undefined","FileHistory"
"tracks","ui","tracks/ui/CommonTrackControls"
"tracks","ui","tracks/ui/TrackButtonHandles"
"TrackPanelConstants","undefined","TrackPanelConstants"
"Grabber","undefined","Grabber"
"istream","undefined","istream"
"tracks","playabletrack","tracks/playabletrack/wavetrack/ui/SampleHandle"
"tracks","ui","tracks/ui/EnvelopeHandle"
"tracks","ui","tracks/ui/TimeiftHandle"
"this file instead of ","undefined","this file instead of "
"Grid","undefined","Grid"
"stddef","undefined","stddef"
"TrackPanelResizeHandle","undefined","TrackPanelResizeHandle"
"cppext","undefined","cppext"
"longque","undefined","longque"
"TrackPanelResizerCell","undefined","TrackPanelResizerCell"
"textio","undefined","textio"
"typein","undefined","typein"
"button","undefined","button"
"tracks","ui","tracks/ui/TrackVRulerControls"
"slider","undefined","slider"
"winmain","undefined","winmain"
"windows","h            ","windows.h            /* required for all Windows applications */"
"winmain","h            ","winmain.h            /* specific to this program          */"
"wx","wx","wx/regex"
"TrackPanelDrawable","undefined","TrackPanelDrawable"
"mapiwin","undefined","mapiwin"
"wx","wx","wx/cursor"
"wx","wx","wx/translation"
"resource","undefined","resource"
"xlispfns","undefined","xlispfns"
"wx","wx","wx/uri"
"HtmlWindow","undefined","HtmlWindow"
"winfun","undefined","winfun"
"saudio","undefined","saudio"
"ImageRoll","undefined","ImageRoll"
"wx","wx","wx/fileconf"
"KeyView","undefined","KeyView"
"widgets","widgets","widgets/OverlayPanel"
"wx","wx","wx/mousestate"
"wx","wx","wx/vlbox"
"MeterPanel","undefined","MeterPanel"
"wxaset","undefined","wxaset"
"WaveTrack","h          ","WaveTrack.h          // temp"
"NoteTrack","h  ","NoteTrack.h  // for Sonify* function declarations"
"VoiceKey","undefined","VoiceKey"
"wx","wx","wx/numdlg"
"AudacityException","h ","AudacityException.h // to inherit"
"Spectrum","undefined","Spectrum"
"wx","wx","wx/wxar"
"cstddef","undefined","cstddef"
"UserException","undefined","UserException"
"prefs","prefs","prefs/SpectrogramSettings"
"omp","undefined","omp"
"images","SpeakerMenu","../../images/SpeakerMenu.xpm"
"images","MicMenu","../../images/MicMenu.xpm"
"MeterPanelBase","undefined","MeterPanelBase"
"MultiDialog","undefined","MultiDialog"
"immintrin","undefined","immintrin"
"wx","wx","wx/radiobox"
"wxPanelWrapper","undefined","wxPanelWrapper"
"NumericTextCtrl","undefined","NumericTextCtrl"
"NetworkManagerApi","undefined","NetworkManagerApi"
"prefs","prefs","prefs/WaveformSettings"
"ostream","undefined","ostream"
"cassert","undefined","cassert"
"CraReportApp","undefined","CraReportApp"
"Overlay","undefined","Overlay"
"memory","undefined","memory"
"wx","wx","wx/cmdline"
"wx","wx","wx/artype"
"wx","wx","wx/artprov"
"OverlayPanel","undefined","OverlayPanel"
"google_breakpad","processor","google_breakpad/processor/basic_source_line_resolver"
"google_breakpad","processor","google_breakpad/processor/minidump_processor"
"google_breakpad","processor","google_breakpad/processor/process_state"
"google_breakpad","processor","google_breakpad/processor/minidump"
"processor","processor","processor/stackwalk_common"
"warning","warning","warning.xpm"
"locale","undefined","locale"
"codecvt","undefined","codecvt"
"client","windows","client/windows/sender/cra_report_sender"
"common","common","common/linuxttp_upload"
"PopupMenuTable","undefined","PopupMenuTable"
"fstream","undefined","fstream"
"allegro","undefined","allegro"
"audioreader","undefined","audioreader"
"audiofilereader","undefined","audiofilereader"
"alignfiles","undefined","alignfiles"
"scorealign","undefined","scorealign"
"assert","undefined","assert"
"ProgressDialog","undefined","ProgressDialog"
"snd","undefined","snd"
"Prefs","h ","Prefs.h // for EnumSetting"
"wx","wx","wx/gauge"
"windows","undefined","windows"
"wx","wx","wx/sound"
"sautils","undefined","sautils"
"Ruler","undefined","Ruler"
"gen_roma","undefined","gen_roma"
" comp_roma","undefined"," comp_roma"
"Client","undefined","Client"
"UnwritableLocationErrorDialog","undefined","UnwritableLocationErrorDialog"
"Host","undefined","Host"
"SpecialHost","undefined","SpecialHost"
"comp_roma","undefined","comp_roma"
"ClientDataHelpers","undefined","ClientDataHelpers"
"Warning","undefined","Warning"
"iterator","undefined","iterator"
"hillclimb","undefined","hillclimb"
"curvefit","undefined","curvefit"
"stdlib","h ","stdlib.h // for OSX compatibility, malloc.h -"
"fft3","fft3","fft3/FFT3"
"numformatter","undefined","numformatter"
"mfmidi","undefined","mfmidi"
"wx","msw","wx/msw/private"
"main","undefined","main"
"ZoomInfo","h ","ZoomInfo.h // to inherit"
"regression","undefined","regression"
"ctype","undefined","ctype"
"wxWidgetsBasicUI","undefined","wxWidgetsBasicUI"
"MemoryX","h ","MemoryX.h // for Destroy_ptr"
"widgets","widgets","widgets/ErrorDialog"
"widgets","widgets","widgets/ErrorReportDialog"
"stdarg","undefined","stdarg"
"wx","wx","wx/progdlg"
"crtdbg","undefined","crtdbg"
"portburn","undefined","portburn"
"portburn_staging","undefined","portburn_staging"
"DiscRecording","undefined","DiscRecording/DiscRecording"
"CraReportContext","undefined","CraReportContext"
"client","macandler","client/macandler/exceptionandler"
"client","linuxandler","client/linuxandler/exceptionandler"
"imapi","undefined","imapi"
"imapi2","undefined","imapi2"
"client","windowsandler","client/windowsandler/exceptionandler"
"tar","undefined","tar"
"imapierror","undefined","imapierror"
"buffer","undefined","buffer"
"sbsms","undefined","sbsms"
"utils","undefined","utils"
"dBTable","undefined","dBTable"
"imapi2error","undefined","imapi2error"
"Objidl","undefined","Objidl"
"ObjBase","undefined","ObjBase"
